Titre;Année;Justwatch;Note Austr;Note CMS;Note FA;Reco FENET;Série;Tags;Resume;note_globale;note_violence;note_sexe;note_complexite;note_language;note_drogue;age_interdit;age_recommandé;duration;scenariste;cover_url;trailer_url;realisateur;scenariste2;distributeur
Austin Powers;1997;;M;14;12;;Austin Powers;Comédie;;;;;;;;;;;;;;;;
Clerks;1994;;R;17;16;;;Comédie;;;;;;;;;;;;;;;;
Samourai Cap;1991;;-;-;-;;;Nanar;;;;;;;;;;;;;;;;
La mouche;1987;;R;16;16;;;Science-fiction|Horreur;;;;;;;;;;;;;;;;
Alarme fatale;1993;;-;13;12;;;Comédie;;;;;;;;;;;;;;;;
Glengarry Glen ross;1992;;M;-;12;;;Drame;;;;;;;;;;;;;;;;
Blow Out;1981;;M;-;16;;;Thriller;;;;;;;;;;;;;;;;
My diner With André;1981;https://www.justwatch.com/fr/film/my-dinner-with-andre;G;7;-;;;Drame;;;;;;;;;;;;;;;;
Austin Powers 2, l’espion qui m’a tirée;1999;;M;14;12;;Austin Powers;Comédie;;;;;;;;;;;;;;;;
Waterworld;1995;;M;13;14;;;Action|Science-fiction;;;;;;;;;;;;;;;;
Predator 2;1991;;R;-;16;;Predator;Action|Science-fiction;;;;;;;;;;;;;;;;
Ghost;1990;;M;13;14;;;Drame|Science-fiction;;;;;;;;;;;;;;;;
Sister Act 2;1994;https://www.justwatch.com/fr/film/sister-act-2;G;8;7;;Sister Act;Comédie;;;;;;;;;;;;;;;;
La cité des enfants perdus;1995;;M;16;14;;;Science-fiction|Fantastique;;;;;;;;;;;;;;;;
Aliens le retour;1986;;M;15;16;;Alien;Science-fiction|Horreur;;;;;;;;;;;;;;;;
Alien3;1992;;M;16;14;;Alien;Science-fiction|Horreur;;;;;;;;;;;;;;;;
Alien, la résurrection;1997;;MA 15+;17;16;;Alien;Science-fiction|Horreur;;;;;;;;;;;;;;;;
Delicatessen;1991;;M;16;16;;;Comédie|Drame|Fantastique;;;;;;;;;;;;;;;;
48 Heures de plus;1990;;M;-;16;;48 Hrs;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Crocodile Dundee;1988;;PG;12;10;;Crocodile Dundee;Action|Comédie;;;;;;;;;;;;;;;;
L'Arme fatale 2;1989;;M;16;16;;L'Arme Fatale;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
L'Arme fatale 3;1992;;M;16;14;;L'Arme Fatale;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
L'Arme fatale 4;1998;;MA 15+;16;14;;L'Arme Fatale;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Les Bronzés font du ski;1979;;;;;;Les Bronzés;Comédie;;;;;;;;;;;;;;;;
Les Visiteurs 2 : les couloirs du temps;1993;;M;-;10;;Les visiteurs;Comédie|Fantastique;;;;;;;;;;;;;;;;
Robocop 2;1990;;R;-;16;;Robocop;Action|Science-fiction|Thriller;;;;;;;;;;;;;;;;
Robocop 3;1993;;M;-;12;;Robocop;Action|Science-fiction|Thriller;;;;;;;;;;;;;;;;
Le Flic de San Francisco;1997;;MA 15+;16;16;;Le Flic de ..;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Les incorruptibles;1987;;M;16;14;;;Drame|Thriller;;;;;;;;;;;;;;;;
Batman;1989;;PG;12;12;;Batman;Action|Fantastique;;;;;;;;;;;;;;;;
Le Grand Bleu;1988;;PG;-;12;;;Drame;;;;;;;;;;;;;;;;
Le père noël est une ordure;1982;;-;-;16;;;Comédie;;;;;;;;;;;;;;;;
Monthy Python - le sens de la vie;1983;;PG;-;-;;;Comédie;;;;;;;;;;;;;;;;
New-York 1997;1981;;M;16;16;;;Action|Science-fiction;;;;;;;;;;;;;;;;
Y a-t-il un pilote dans l’avion ?;1980;;PG;14;12;;Y at-il ... ?;Comédie;;;;;;;;;;;;;;;;
Good Morning, Vietnam;1987;;M;15;14;;;Comédie|Drame;;;;;;;;;;;;;;;;
Les griffes de la nuit;1984;;R;18;18;;;Horreur;;;;;;;;;;;;;;;;
Quand Harry rencontre Sally…;1989;;M;16;12;;;Comédie|Drame;;;;;;;;;;;;;;;;
Pulp Fiction;1994;;R;18;16;;;Comédie|Thriller;;;;;;;;;;;;;;;;
Fight Club;1999;;R;17;18;;;Drame|Thriller;;;;;;;;;;;;;;;;
Les Affranchis;1990;;R;18;16;;;Drame|Thriller;;;;;;;;;;;;;;;;
Seven;1995;;R;18;18;;;Drame|Thriller;;;;;;;;;;;;;;;;
Reservoir Dogs;1992;;R;18;18;;;Drame|Thriller;;;;;;;;;;;;;;;;
Les évadés;1994;;MA 15+;15;14;;;Drame;;;;;;;;;;;;;;;;
Le silence des agneaux;1991;;MA 15+;17;18;;;Drame|Thriller|Horreur;;;;;;;;;;;;;;;;
Usual Suspects;1995;;MA 15+;17;16;;;Thriller;;;;;;;;;;;;;;;;
Casino;1995;;R;18;16;;;Action|Drame|Thriller;;;;;;;;;;;;;;;;
Fargo;1996;;MA 15+;16;16;;;Drame|Thriller;;;;;;;;;;;;;;;;
L’armée des 12 singes;1995;;M;17;16;;;Action|Science-fiction;;;;;;;;;;;;;;;;
La Haine;1995;;MA 15+;-;16;;;Drame;;;;;;;;;;;;;;;;
La vie est belle;1997;;M;13;12;;;Comédie|Drame;;;;;;;;;;;;;;;;
Léon;1994;;R;16;16;;;Drame|Thriller;;;;;;;;;;;;;;;;
Le Dîner de cons;1998;;M;-;12;;;Comédie;;;;;;;;;;;;;;;;
Scream;1996;;MA 15+;16;16;;Scream;Horreur|Adolescent;;;;;;;;;;;;;;;;
Tango & Cash;1989;;M;-;16;;;Action|Thriller;;;;;;;;;;;;;;;;
Les dieux sont tombés sur la tête;1980;;PG;11;12;;;Action|Comédie;;;;;;;;;;;;;;;;
Turner & Hooch;1989;;PG;11;10;;;Comédie|Drame|Thriller;;;;;;;;;;;;;;;;
la vie est un long fleuve tranquille;1988;;M;-;14;;;Comédie;;;;;;;;;;;;;;;;
un poisson nomme wanda;1988;;M;16;14;;;Comédie|Thriller;;;;;;;;;;;;;;;;
Y a t il un flic pour sauver la reine ?;1988;;M;13;12;;Y at-il ... ?;Comédie|Thriller;;;;;;;;;;;;;;;;
Jumeaux;1988;;PG;13;10;;;Comédie;;;;;;;;;;;;;;;;
Double Détente;1988;;MA 15+;-;14;;;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Short Circuit;1986;;PG;10;7;;;Comédie|Science-fiction;;;;;;;;;;;;;;;;
A la poursuite du diamant vert;1984;;PG;12;12;;;Action|Comédie;;;;;;;;;;;;;;;;
Top Secret!;1984;;M;12;12;;;Comédie;;;;;;;;;;;;;;;;
Marche a l ombre;1984;;-;-;14;;;Comédie;;;;;;;;;;;;;;;;
Police Academy;1984;;M;17;14;;;Comédie|Thriller;;;;;;;;;;;;;;;;
Goldeneye;1995;;PG;13;14;;;Action|Thriller;;;;;;;;;;;;;;;;
Top Gun;1986;;PG;13;12;;;Action|Drame;;;;;;;;;;;;;;;;
Les Fugitifs;1986;;M;-;7;;;Comédie|Thriller;;;;;;;;;;;;;;;;
La couleur de l’argent;1986;;M;14;-;;;Comédie|Drame;;;;;;;;;;;;;;;;
Tootsie;1982;;M;13;14;;;Comédie|Drame;;;;;;;;;;;;;;;;
Deux heures moins le quart avant jesus christ;1982;;-;-;10;;;Comédie;;;;;;;;;;;;;;;;
Y a-t-il enfin un pilote dans l’avion ?;1982;;PG;14;12;;Y at-il ... ?;Comédie;;;;;;;;;;;;;;;;
Papy fait de la resistance;1983;;-;-;12;;;Comédie|Guerre;;;;;;;;;;;;;;;;
les comperes/486196;1983;;M;-;10;;;Comédie|Thriller;;;;;;;;;;;;;;;;
Quand faut y aller faut y aller;1983;;PG;-;10;;;Action|Comédie;;;;;;;;;;;;;;;;
Trois hommes et un couffin;1985;;PG;-;12;;;Comédie;;;;;;;;;;;;;;;;
Le diamant du Nil;1985;;PG;13;12;;;Action|Comédie;;;;;;;;;;;;;;;;
Les spécialistes;1985;;-;-;12;;;Action|Thriller;;;;;;;;;;;;;;;;
L’Avare;1980;;-;-;-;;;Comédie;;;;;;;;;;;;;;;;
La Boum;1980;;-;-;12;;;Comédie|Drame;;;;;;;;;;;;;;;;
A la poursuite d octobre rouge;1990;;PG;13;10;;;Action|Thriller;;;;;;;;;;;;;;;;
La gloire de mon père;1990;https://www.justwatch.com/fr/film/my-fathers-glory;G;-;7;;Pagnol;Drame;;;;;;;;;;;;;;;;
Le chateau de ma mère;1990;https://www.justwatch.com/fr/film/my-mothers-castle;G;-;7;;Pagnol;Comédie;;;;;;;;;;;;;;;;
Tatie Danielle;1990;;M;-;12;;;Comédie|Drame;;;;;;;;;;;;;;;;
Un flic a la maternelle;1990;;M;13;14;;;Comédie|Thriller;;;;;;;;;;;;;;;;
Point Break;1991;;M;17;16;;;Action|Thriller;;;;;;;;;;;;;;;;
Speed;1994;;M;15;14;;;Action|Thriller;;;;;;;;;;;;;;;;
Taxi;1998;;M;-;14;;Taxi;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
Un indien dans la ville;1994;;-;-;7;;;Action|Comédie;;;;;;;;;;;;;;;;
Bad Boys;1995;;MA 15+;16;16;;Bad Boys;Action|Comédie|Thriller;;;;;;;;;;;;;;;;
La soif de l'or;1993;;-;-;7;;;Comédie|Thriller;;;;;;;;;;;;;;;;
Hot Shots;1991;;PG;12;10;;Hot Shots !;Comédie;;;;;;;;;;;;;;;;
Madame Doubtfire;1993;;PG;12;10;;;Comédie|Drame;;;;;;;;;;;;;;;;
Hot Shots 2;1993;;M;-;12;;Hot Shots !;Comédie;;;;;;;;;;;;;;;;
Les dieux sont tombés sur la tête, la suite;1989;;PG;11;7;;;Action|Comédie;;;;;;;;;;;;;;;;
Short Circuit 2 - Appelez moi Johnny 5;1986;;M;8;7;;;Comédie|Science-fiction;;;;;;;;;;;;;;;;
y a t il un flic pour sauver la reine pour sauver le président ?;1991;;M;13;12;;Y at-il ... ?;Comédie|Thriller;;;;;;;;;;;;;;;;
y a t il un flic pour sauver la reine pour sauver Hollywood ?;1994;;PG;13;12;;Y at-il ... ?;Comédie|Thriller;;;;;;;;;;;;;;;;
Risky Business;1983;;M;16;16;;;Comédie;;;;;;;;;;;;;;;;
Snake eyes;1998;;;;;;;Thriller|Criminel;;;;;;;;;;;;;;;;
Haute Voltige ?;;;;;;;;;;;;;;;;;;;;;;;;
